Item ID,PageType,LeafNum,PgNum
Softline_1981_11_Japan_USA,Title,0,None
Softline_1981_11_Japan_USA,Normal,1,None
Softline_1981_11_Japan_USA,Normal,2,None
Softline_1981_11_full,Title,0,None
Softline_1981_11_full,Normal,1,None
Softline_1981_11_full,Normal,2,None
Softline_1981_11_full,Normal,3,None
Softline_1981_11_full,Normal,4,None
Softline_1981_11_full,Normal,5,None
Softline_1981_11_full,Normal,6,None
Softline_1981_11_full,Normal,7,None
Softline_1981_11_full,Normal,8,None
Softline_1981_11_full,Normal,9,None
Softline_1981_11_full,Normal,10,None
Softline_1981_11_full,Normal,11,None
Softline_1981_11_full,Normal,12,None
Softline_1981_11_full,Normal,13,None
Softline_1981_11_full,Normal,14,None
Softline_1981_11_full,Normal,15,None
Softline_1981_11_full,Normal,16,None
Softline_1981_11_full,Normal,17,None
Softline_1981_11_full,Normal,18,None
Softline_1981_11_full,Normal,19,None
Softline_1981_11_full,Normal,20,None
Softline_1981_11_full,Normal,21,None
Softline_1981_11_full,Normal,22,None
Softline_1981_11_full,Normal,23,None
Softline_1981_11_full,Normal,24,None
Softline_1981_11_full,Normal,25,None
Softline_1981_11_full,Normal,26,None
Softline_1981_11_full,Normal,27,None
Softline_1981_11_full,Normal,28,None
Softline_1981_11_full,Normal,29,None
Softline_1981_11_full,Normal,30,None
Softline_1981_11_full,Normal,31,None
Softline_1982_01,Title,0,None
Softline_1982_01,Normal,1,None
Softline_1982_01,Normal,2,None
Softline_1982_01,Normal,3,None
Softline_1982_01,Normal,4,None
Softline_1982_01,Normal,5,None
Softline_1982_01,Normal,6,None
Softline_1982_01,Normal,7,None
Softline_1982_01,Normal,8,None
Softline_1982_01,Normal,9,None
Softline_1982_01,Normal,10,None
Softline_1982_01,Normal,11,None
Softline_1982_01,Normal,12,None
Softline_1982_01,Normal,13,None
Softline_1982_01,Normal,14,None
Softline_1982_01,Normal,15,None
Softline_1982_01,Normal,16,None
Softline_1982_01,Normal,17,None
Softline_1982_01,Normal,18,None
Softline_1982_01,Normal,19,None
Softline_1982_01,Normal,20,None
Softline_1982_01,Normal,21,None
Softline_1982_01,Normal,22,None
Softline_1982_01,Normal,23,None
Softline_1982_01,Normal,24,None
Softline_1982_01,Normal,25,None
Softline_1982_01,Normal,26,None
Softline_1982_01,Normal,27,None
Softline_1982_01,Normal,28,None
Softline_1982_01,Normal,29,None
Softline_1982_01,Normal,30,None
Softline_1982_01,Normal,31,None
Softline_1982_01,Normal,32,None
Softline_1982_01,Normal,33,None
Softline_1982_01,Normal,34,None
Softline_1982_01,Normal,35,None
Softline_1982_01,Normal,36,None
Softline_1982_01,Normal,37,None
Softline_1982_01,Normal,38,None
Softline_1982_01,Normal,39,None
Softline_1982_03,Title,0,None
Softline_1982_03,Normal,1,None
Softline_1982_03,Normal,2,None
Softline_1982_03,Normal,3,None
Softline_1982_03,Normal,4,None
Softline_1982_03,Normal,5,None
Softline_1982_03,Normal,6,None
Softline_1982_03,Normal,7,None
Softline_1982_03,Normal,8,None
Softline_1982_03,Normal,9,None
Softline_1982_03,Normal,10,None
Softline_1982_03,Normal,11,None
Softline_1982_03,Normal,12,None
Softline_1982_03,Normal,13,None
Softline_1982_03,Normal,14,None
Softline_1982_03,Normal,15,None
Softline_1982_03,Normal,16,None
Softline_1982_03,Normal,17,None
Softline_1982_03,Normal,18,None
Softline_1982_03,Normal,19,None
Softline_1982_03,Normal,20,None
Softline_1982_03,Normal,21,None
Softline_1982_03,Normal,22,None
Softline_1982_03,Normal,23,None
Softline_1982_03,Normal,24,None
Softline_1982_03,Normal,25,None
Softline_1982_03,Normal,26,None
Softline_1982_03,Normal,27,None
Softline_1982_03,Normal,28,None
Softline_1982_03,Normal,29,None
Softline_1982_03,Normal,30,None
Softline_1982_03,Normal,31,None
Softline_1982_03,Normal,32,None
Softline_1982_03,Normal,33,None
Softline_1982_03,Normal,34,None
Softline_1982_03,Normal,35,None
Softline_1982_03,Normal,36,None
Softline_1982_03,Normal,37,None
Softline_1982_03,Normal,38,None
Softline_1982_03,Normal,39,None
Softline_1982_03,Normal,40,None
Softline_1982_03,Normal,41,None
Softline_1982_03,Normal,42,None
Softline_1982_03,Normal,43,None
Softline_1982_03,Normal,44,None
Softline_1982_03,Normal,45,None
Softline_1982_03,Normal,46,None
Softline_1982_03,Normal,47,None
Softline_1982_03,Normal,48,None
Softline_1982_03,Normal,49,None
Softline_1982_03,Normal,50,None
Softline_1982_03,Normal,51,None
Softline_1982_03,Normal,52,None
Softline_1982_03,Normal,53,None
Softline_1982_03,Normal,54,None
Softline_1982_03,Normal,55,None
Softline_1982_03,Normal,56,None
Softline_1982_03,Normal,57,None
Softline_1982_03,Normal,58,None
Softline_1982_03,Normal,59,None
Softline_1982_03,Normal,60,None
Softline_1982_03,Normal,61,None
Softline_1982_03,Normal,62,None
Softline_1982_03,Normal,63,None
Softline_1982_05,Title,0,None
Softline_1982_05,Normal,1,None
Softline_1982_05,Normal,2,None
Softline_1982_05,Normal,3,None
Softline_1982_05,Normal,4,None
Softline_1982_05,Normal,5,None
Softline_1982_05,Normal,6,None
Softline_1982_05,Normal,7,None
Softline_1982_05,Normal,8,None
Softline_1982_05,Normal,9,None
Softline_1982_05,Normal,10,None
Softline_1982_05,Normal,11,None
Softline_1982_05,Normal,12,None
Softline_1982_05,Normal,13,None
Softline_1982_05,Normal,14,None
Softline_1982_05,Normal,15,None
Softline_1982_05,Normal,16,None
Softline_1982_05,Normal,17,None
Softline_1982_05,Normal,18,None
Softline_1982_05,Normal,19,None
Softline_1982_05,Normal,20,None
Softline_1982_05,Normal,21,None
Softline_1982_05,Normal,22,None
Softline_1982_05,Normal,23,None
Softline_1982_05,Normal,24,None
Softline_1982_05,Normal,25,None
Softline_1982_05,Normal,26,None
Softline_1982_05,Normal,27,None
Softline_1982_05,Normal,28,None
Softline_1982_05,Normal,29,None
Softline_1982_05,Normal,30,None
Softline_1982_05,Normal,31,None
Softline_1982_05,Normal,32,None
Softline_1982_05,Normal,33,None
Softline_1982_05,Normal,34,None
Softline_1982_05,Normal,35,None
Softline_1982_05,Normal,36,None
Softline_1982_05,Normal,37,None
Softline_1982_05,Normal,38,None
Softline_1982_05,Normal,39,None
Softline_1982_05,Normal,40,None
Softline_1982_05,Normal,41,None
Softline_1982_05,Normal,42,None
Softline_1982_05,Normal,43,None
Softline_1982_05,Normal,44,None
Softline_1982_05,Normal,45,None
Softline_1982_05,Normal,46,None
Softline_1982_05,Normal,47,None
Softline_1982_05,Normal,48,None
Softline_1982_05,Normal,49,None
Softline_1982_05,Normal,50,None
Softline_1982_05,Normal,51,None
Softline_1982_05,Normal,52,None
Softline_1982_05,Normal,53,None
Softline_1982_05,Normal,54,None
Softline_1982_05,Normal,55,None
Softline_1982_07,Title,0,None
Softline_1982_07,Normal,1,None
Softline_1982_07,Normal,2,None
Softline_1982_07,Normal,3,None
Softline_1982_07,Normal,4,None
Softline_1982_07,Normal,5,None
Softline_1982_07,Normal,6,None
Softline_1982_07,Normal,7,None
Softline_1982_07,Normal,8,None
Softline_1982_07,Normal,9,None
Softline_1982_07,Normal,10,None
Softline_1982_07,Normal,11,None
Softline_1982_07,Normal,12,None
Softline_1982_07,Normal,13,None
Softline_1982_07,Normal,14,None
Softline_1982_07,Normal,15,None
Softline_1982_07,Normal,16,None
Softline_1982_07,Normal,17,None
Softline_1982_07,Normal,18,None
Softline_1982_07,Normal,19,None
Softline_1982_07,Normal,20,None
Softline_1982_07,Normal,21,None
Softline_1982_07,Normal,22,None
Softline_1982_07,Normal,23,None
Softline_1982_07,Normal,24,None
Softline_1982_07,Normal,25,None
Softline_1982_07,Normal,26,None
Softline_1982_07,Normal,27,None
Softline_1982_07,Normal,28,None
Softline_1982_07,Normal,29,None
Softline_1982_07,Normal,30,None
Softline_1982_07,Normal,31,None
Softline_1982_07,Normal,32,None
Softline_1982_07,Normal,33,None
Softline_1982_07,Normal,34,None
Softline_1982_07,Normal,35,None
Softline_1982_07,Normal,36,None
Softline_1982_07,Normal,37,None
Softline_1982_07,Normal,38,None
Softline_1982_07,Normal,39,None
Softline_1982_09,Title,0,None
Softline_1982_09,Normal,1,None
Softline_1982_09,Normal,2,None
Softline_1982_09,Normal,3,None
Softline_1982_09,Normal,4,None
Softline_1982_09,Normal,5,None
Softline_1982_09,Normal,6,None
Softline_1982_09,Normal,7,None
Softline_1982_09,Normal,8,None
Softline_1982_09,Normal,9,None
Softline_1982_09,Normal,10,None
Softline_1982_09,Normal,11,None
Softline_1982_09,Normal,12,None
Softline_1982_09,Normal,13,None
Softline_1982_09,Normal,14,None
Softline_1982_09,Normal,15,None
Softline_1982_09,Normal,16,None
Softline_1982_09,Normal,17,None
Softline_1982_09,Normal,18,None
Softline_1982_09,Normal,19,None
Softline_1982_09,Normal,20,None
Softline_1982_09,Normal,21,None
Softline_1982_09,Normal,22,None
Softline_1982_09,Normal,23,None
Softline_1982_09,Normal,24,None
Softline_1982_09,Normal,25,None
Softline_1982_09,Normal,26,None
Softline_1982_09,Normal,27,None
Softline_1982_09,Normal,28,None
Softline_1982_09,Normal,29,None
Softline_1982_09,Normal,30,None
Softline_1982_09,Normal,31,None
Softline_1982_09,Normal,32,None
Softline_1982_09,Normal,33,None
Softline_1982_09,Normal,34,None
Softline_1982_09,Normal,35,None
Softline_1982_09,Normal,36,None
Softline_1982_09,Normal,37,None
Softline_1982_09,Normal,38,None
Softline_1982_09,Normal,39,None
Softline_1982_11,Title,0,None
Softline_1982_11,Normal,1,None
Softline_1982_11,Normal,2,None
Softline_1982_11,Normal,3,None
Softline_1982_11,Normal,4,None
Softline_1982_11,Normal,5,None
Softline_1982_11,Normal,6,None
Softline_1982_11,Normal,7,None
