ADVERTISER,VOL,NUM,PPG
1-Protect,3,10,126
21st Century Tek,1,8,40
3G Company,3,3,258
3M,4,10,34
3M Company,3,12,32
3M Company,4,1,110
3M Company,4,2,186
3M Company,4,3,94
3M Company,4,4,134
3M Company,4,5,119
3M Company,4,6,64
3M Company,4,7,151
A B Computers,3,7,95
A B Computers,3,8,231
A B Computers,3,9,210
A B Computers,3,10,60
A B Computers,3,11,78
A B Computers,3,12,230
A B Computers,4,1,175
A B Computers,4,2,313
A B Computers,4,3,154
A B Computers,4,4,406
A B Computers,4,5,99
A B Computers,4,6,67
A B Computers,4,7,237
A B Computers,4,8,134
A B Computers,4,9,134
A B Computers,4,10,101
A B Computers,4,11,110
A.G. Becker,4,7,206
A.M. Loveman Lumber & Box Co,3,5,140
A.M. Loveman Lumber & Box Co,3,9,187
A.P.P.L.E,4,8,197
A.P.P.L.E,4,11,47
A.P.P.L.E,4,11,55
A.P.P.L.E,4,12,118
A.P.P.L.E,4,12,93
ABC Software,4,3,112
ABT Microcomputer Software,3,5,209
ABT Microcomputer Software,3,6,232
ALF,1,3,43
ALF Copy Service,3,12,134
ATI Training Power,3,12,103
ATI Training Power,4,1,153
ATI Training Power,4,2,181
ATI Training Power,4,8,149
ATI Training Power,4,10,138
Abacus Enterprises,3,7,71
Abbee Systems,4,9,201
Accelerated Logic,4,10,140
Accelerated Logic,4,11,59
Accent,2,3,49
Accent,2,4,148
Accent,2,5,66
Accent,2,6,14
Accent,2,7,9
Accent,2,9,17
Accent,2,10,29
Accent,2,11,22
Accent,2,12,22
Accent,3,1,20
Accent Software,3,2,132
Accent Software,3,2,223
Accent Software,3,3,175
Accent Software,3,4,185
Accent Software,3,5,58
Accent Software,3,7,29
Accent Software,3,8,167
Accent Software,3,9,83
Accent Software,3,10,75
Accent Software,3,11,239
Accent Software,3,12,71
Accent Software,4,1,126
Accent Software,4,2,96
Accent Software,4,3,98
Accent Software,4,4,25
Accent Software,4,5,111
Accent Software,4,6,73
Accent Software,4,8,66
Accent Software,4,9,128
Accent Software,4,10,56
Accent Software,4,11,87
Accent Software,4,12,71
Accessory III,3,4,297
Accessory III,3,6,249
Accessory III,3,7,273
Accessory Products Company,3,5,53
Accessory Products Company,3,6,6
Accuroi,2,12,196
Action-Research NW,4,12,117
Action-Research Northwest,3,5,51
Action-Research Northwest,3,7,218
Action-Research Northwest,3,9,267
Action-Research Northwest,3,10,121
Action-Research Northwest,3,10,61
Action-Research Northwest,3,11,171
Action-Research Northwest,3,11,96
Action-Research Northwest,3,12,216
Action-Research Northwest,3,12,285
Action-Research Northwest,4,1,122
Action-Research Northwest,4,1,255
Action-Research Northwest,4,2,221
Action-Research Northwest,4,3,126
Action-Research Northwest,4,3,333
Action-Research Northwest,4,4,364
Action-Research Northwest,4,4,70
Action-Research Northwest,4,5,267
Action-Research Northwest,4,5,91
Action-Research Northwest,4,6,116
Action-Research Northwest,4,6,179
Action-Research Northwest,4,7,165
Action-Research Northwest,4,7,239
Action-Research Northwest,4,8,46
Action-Research Northwest,4,9,96
Action-Research Northwest,4,10,76
Action-Research Northwest,4,11,107
Actioncraft,4,2,47
Adaptive Software,4,5,262
Adaptive Software,4,6,142
Adaptive Software,4,7,75
Advanced Business Computing,4,7,170
Advanced Business Computing,4,8,95
Advanced Business Computing,4,9,50
Advanced Business Technology,1,1,25
Advanced Business Technology,1,3,6
Advanced Business Technology,1,4,33
Advanced Business Technology,1,6,3
Advanced Business Technology,1,8,69
Advanced Business Technology,1,10,44
Advanced Business Technology,1,12,26
Advanced Business Technology,2,1,86
Advanced Business Technology,2,2,109
Advanced Business Technology,2,3,164
Advanced Business Technology,2,4,83
Advanced Business Technology,2,5,103
Advanced Business Technology,2,6,75
Advanced Business Technology,2,9,31
Advanced Business Technology,2,10,85
Advanced Business Technology,2,11,140
Advanced Business Technology,3,4,116
Advanced Data Institute,4,5,170
Advanced Data Institute,4,5,268
Advanced Logic,2,7,119
Advanced Logic,2,8,197
Advanced Logic,2,9,216
Advanced Logic,2,11,78
Advanced Logic,2,12,160
Advanced Logic,3,1,190
Advanced Logic Systems,2,3,31
Advanced Logic Systems,2,3,32
Advanced Logic Systems,2,4,29
Advanced Logic Systems,2,5,107
Advanced Logic Systems,4,3,279
Advanced Logic Systems/Digital Research,3,7,75
Advanced Logic Systems/Digital Research,3,8,63
Advanced Logic Systems/Digital Research,3,9,143
Advanced Logic Systems/Digital Research,3,10,47
Advanced Logic Systems/Digital Research,3,11,194
Advanced Logic Systems/Digital Research,3,12,233
Advanced Operating Systems,2,5,169
Advanced Operating Systems,3,3,115
Advanced Software Technology,3,6,87
Adventure International,2,7,60
Adventure International,2,8,32
Adventure International,2,8,84
Adventure International,2,8,85
Adventure International,2,9,174
Adventure International,2,9,175
Adventure International,2,9,93
Adventure International,2,10,206
Adventure International,2,11,127
Adventure International,2,11,36
Adventure International,2,11,37
Adventure International,2,12,162
Adventure International,3,1,110
Adventure International,3,1,111
Adventure International,3,3,206
Adventure International,3,3,67
Adventure International,3,4,58
Adventure International,3,5,158
Adventure International,3,5,245
Adventure International,3,6,169
Adventure International,3,6,243
Adventure International,3,7,115
Adventure International,3,7,216
Adventure International,3,8,185
Adventure International,3,9,263
Adventure International,3,11,215
Adventure International,3,12,151
Adventure International,4,1,246
Adventure International,4,2,167
Adventure International/Softsel,2,3,175
Adventure International/Softsel,2,4,141
Adventure International/Softsel,2,4,179
Adventure International/Softsel,2,5,115
Adventure International/Softsel,2,5,73
Adventure International/Softsel,2,6,110
Adventure International/Softsel,2,6,51
Adwar,3,12,46
Adwar Video Corp,3,5,18
Adwar Video Corp,3,7,239
Adwar Video Corp,3,8,35
Adwar Video Corp,3,9,116
Aguila Corporation,3,7,163
Aguila Corporation,3,8,102
Aguila Corporation,3,11,28
Aguila Corporation,3,12,62
Aguila Corporation,4,1,188
Aguila Corporation,4,3,88
Aguila Corporation,4,4,35
Alco Computing,4,10,108
Alf Copy Service,4,3,78
Alf Copy Service,4,4,375
Alf Copy Service,4,6,72
Alf Copy Service,4,7,162
Alf Copy Service,4,8,105
Alf Copy Service,4,9,188
Alf Copy Service,4,11,52
Alf Copy Service,4,12,95
Alien Group,2,12,167
Alien Group,3,1,129
Alien Group,3,2,166
Alien Group,3,3,25
Alien Group,3,4,277
Alpha Byte Computer Products,3,6,168
Alpha Byte Computer Products,3,7,262
Alpha Byte Computer Products,3,11,47
Alpha Logic,2,5,168
Alpha Logic,2,7,152
Alpha Logic,2,8,54
Alpha Logic,2,9,159
Alpha Logic Business Systems,3,2,204
Alpha Logic Business Systems,3,3,56
Alpha Logic Business Systems,3,4,62
Alpha Logic Business Systems,3,6,134
Alpha Logic Business Systems,4,1,103
Alpha Logic Business Systems,4,2,196
Alpha Logic Business Systems,4,4,104
Alpine Software,3,2,124
Alpine Software,3,3,182
Alpine Software,3,4,286
Amdek,2,4,139
Amdek,2,6,117
Amdek,2,8,5
Amdek,2,10,3
Amdek,2,11,157
Amdek,3,1,41
Amdek,3,2,200
Amdek,3,3,283
Amdek,3,4,152
Amdek,3,4,153
