PERSON,POSITION,VOL,NUM,CATEGORY,SUBCATEGORY
[Advertising Sales],East Coast Sales,3,8,Advertising,
[Advertising Sales],East Coast Sales,3,9,Advertising,
[Advertising Sales],East Coast Sales,3,10,Advertising,
[Advertising Sales],East Coast Sales,3,11,Advertising,
[Advertising Sales],East Coast Sales,3,12,Advertising,
[Advertising Sales],East Coast Sales,4,1,Advertising,
[Advertising Sales],East Coast Sales,4,2,Advertising,
[Advertising Sales],East Coast Sales,4,3,Advertising,
[Advertising Sales],East Coast Sales,4,4,Advertising,
[Advertising Sales],East Coast Sales,4,5,Advertising,
[Advertising Sales],East Coast Sales,4,6,Advertising,
[Advertising Sales],East Coast Sales,4,7,Advertising,
[Advertising Sales],East Coast Sales,4,8,Advertising,
[Advertising Sales],East Coast Sales,4,9,Advertising,
[Advertising Sales],East Coast Sales,4,10,Softalk Publishing,Advertising
[Advertising Sales],East Coast Sales,4,11,Softalk Publishing,Advertising
[Advertising Sales],East Coast Sales,4,12,Softalk Publishing,Advertising
[Market/Media Associates],Midwest and Rocky Mountain Sales,2,8,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,2,9,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,2,10,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,2,11,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,2,12,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,1,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,2,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,3,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,4,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,5,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,6,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,7,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,8,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,9,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,10,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,11,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,3,12,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,1,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,2,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,3,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,4,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,5,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,6,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,7,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,8,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,9,Advertising,
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,10,Softalk Publishing,Advertising
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,11,Softalk Publishing,Advertising
[Market/Media Associates],Midwest and Rocky Mountain Sales,4,12,Softalk Publishing,Advertising
[Paul McGinnis Company],East Coast Sales,2,8,Advertising,
[Paul McGinnis Company],East Coast Sales,2,9,Advertising,
[Paul McGinnis Company],East Coast Sales,2,10,Advertising,
[Paul McGinnis Company],East Coast Sales,2,11,Advertising,
[Paul McGinnis Company],East Coast Sales,2,12,Advertising,
[Paul McGinnis Company],East Coast Sales,3,1,Advertising,
[Paul McGinnis Company],East Coast Sales,3,2,Advertising,
[Paul McGinnis Company],East Coast Sales,3,3,Advertising,
[Paul McGinnis Company],East Coast Sales,3,4,Advertising,
[Paul McGinnis Company],East Coast Sales,3,5,Advertising,
[Paul McGinnis Company],East Coast Sales,3,6,Advertising,
[Paul McGinnis Company],East Coast Sales,3,7,Advertising,
[Softalk],West Coast Sales,3,1,Advertising,
Al Tommervik,Advertising Sales,1,2,,
Al Tommervik,Advertising Sales,1,3,,
Al Tommervik,Advertising Sales,1,5,,
Al Tommervik,Advertising Sales,1,6,,
Al Tommervik,Advertising Sales,1,7,,
Al Tommervik,Advertising Sales,1,8,,
Al Tommervik,Advertising Sales,1,9,,
Al Tommervik,Advertising Sales,1,10,,
Al Tommervik,Advertising Sales,1,11,,
Al Tommervik,Advertising Sales,1,12,,
Al Tommervik,Advertising Sales,2,1,,
Al Tommervik,Advertising Sales,2,2,,
Al Tommervik,Advertising Sales,2,3,,
Al Tommervik,Advertising Sales,2,4,,
Al Tommervik,Managing Editor,1,7,,
Al Tommervik,Managing Editor,1,8,,
Al Tommervik,Managing Editor,1,9,,
Al Tommervik,Managing Editor,1,10,,
Al Tommervik,Managing Editor,1,11,,
Al Tommervik,Managing Editor,1,12,,
Al Tommervik,Managing Editor,2,1,,
Al Tommervik,Marketing and Production,1,1,,
Al Tommervik,Marketing and Production,1,2,,
Al Tommervik,Production and Marketing,1,3,,
Al Tommervik,Production Manager,1,5,,
Al Tommervik,Production Manager,1,6,,
Al Tommervik,Publisher,2,2,,
Al Tommervik,Publisher,2,3,,
Al Tommervik,Publisher,2,4,,
Al Tommervik,Publisher,2,5,,
Al Tommervik,Publisher,2,6,,
Al Tommervik,Publisher,2,7,,
Al Tommervik,Publisher,2,8,,
Al Tommervik,Publisher,2,9,,
Al Tommervik,Publisher,2,10,,
Al Tommervik,Publisher,2,11,,
Al Tommervik,Publisher,2,12,,
Al Tommervik,Publisher,3,1,,
Al Tommervik,Publisher,3,2,,
Al Tommervik,Publisher,3,3,,
Al Tommervik,Publisher,3,4,,
Al Tommervik,Publisher,3,5,,
Al Tommervik,Publisher,3,6,,
Al Tommervik,Publisher,3,7,,
Al Tommervik,Publisher,3,8,,
Al Tommervik,Publisher,3,9,,
Al Tommervik,Publisher,3,10,,
Al Tommervik,Publisher,3,11,,
Al Tommervik,Publisher,3,12,,
Al Tommervik,Publisher,4,1,,
Al Tommervik,Publisher,4,2,,
Al Tommervik,Publisher,4,3,,
Al Tommervik,Publisher,4,4,,
Al Tommervik,Publisher,4,5,,
Al Tommervik,Publisher,4,6,,
Al Tommervik,Publisher,4,7,,
Al Tommervik,Publisher,4,8,,
Al Tommervik,Publisher,4,9,,
Al Tommervik,Publisher,4,10,,
Al Tommervik,Publisher,4,11,,
Al Tommervik,Publisher,4,12,,
Al Tommervik,Vice-President,1,4,,
Al Tommervik,Vice-President,1,5,,
Al Tommervik,Vice-President,1,6,,
Alan Mankovitz,Guest Reviewers,3,5,,
Alexander E. D. Carlton,Guest Reviewers,4,1,,
Allan Tommervik,Vice-President,1,2,,
Allan Tommervik,Vice-President,1,3,,
Allen Munro,Guest Reviewers,2,6,Contributing Editors,
Allen Munro,Guest Reviewers,2,8,Contributing Editors,
Allen Munro,Guest Reviewers,2,9,Contributing Editors,
Amanda Hixson,Guest Reviewers,3,5,,
Andrew Christie,Assistant Editor,2,7,,
Andrew Christie,Assistant Editor,2,8,,
Andrew Christie,Assistant Editor,2,9,,
Andrew Christie,Assistant Editors,2,10,,
Andrew Christie,Associate Editor,4,10,Editorial Staff,Associate Editors
Andrew Christie,Associate Editor,4,11,Editorial Staff,Associate Editors
Andrew Christie,Associate Editor,4,12,Editorial Staff,Associate Editors
Andrew Christie,Associate Editors,2,11,,
Andrew Christie,Associate Editors,2,12,,
Andrew Christie,Associate Editors,3,1,,
Andrew Christie,Associate Editors,3,2,,
Andrew Christie,Associate Editors,3,3,,
Andrew Christie,Associate Editors,3,4,,
Andrew Christie,Associate Editors,3,5,,
Andrew Christie,Associate Editors,3,6,,
Andrew Christie,Associate Editors,3,7,,
Andrew Christie,Associate Editors,3,8,,
Andrew Christie,Associate Editors,3,9,,
Andrew Christie,Copy Editor,2,5,,
Andrew Christie,Copy Editor,2,6,,
Andrew Christie,Copy Editors,2,4,,
Andrew Christie,Editor - St. Game,4,10,Softalk Publishing,Siblings
