POSITION	NAME
Chairman	John Haller
Editor	Margot Comstock Tommervik
Managing Editor	Al Tommervik
Associate Editor	Craig Stinson
Art Director	Kurt A. Wahlner
Contributing Editors	Roger Wagner, Jim Merritt, Peter Olivieri, Greg Tibbetts, Taylor Pohlman, Kenneth A. Landis, Jeff Mazur
Guest Reviewer	Greg Voss
Coordinating Editor	Melissa Milich
Editorial Assistant	Linda Va Salle
Operations Manager	Mary Sue Rennells
Production	David Hunter
Circulation	Kimberly Curling, Ron Rennells
Assistant	Roberta Tommervik
Systems	William V. R. Smith
Advertising Sales	Al Tommervik

